SalePrice,Id,LotArea,Street,YearRemodAdd,YearBuilt,Heating,BedroomAbvGr,KitchenAbvGr,GarageType,ScreenPorch,PoolArea,MoSold,SaleType,SaleCondition
319900,46,7658,Pave,2005,2005,GasA,2,1,Attchd,0,0,2,WD,Normal
239686,47,12822,Pave,2003,2003,GasA,1,1,Attchd,198,0,8,WD,Abnorml
249700,48,11096,Pave,2006,2006,GasA,3,1,Attchd,0,0,7,WD,Normal
113000,49,4456,Pave,2008,1920,GasA,2,3,NA,0,0,6,New,Partial
127000,50,7742,Pave,1966,1966,GasA,3,1,Attchd,0,0,1,WD,Normal
177000,51,13869,Pave,1997,1997,GasA,3,1,Attchd,0,0,7,WD,Normal
114500,52,6240,Pave,1950,1934,GasA,3,1,Detchd,0,0,9,WD,Normal
110000,53,8472,Grvl,1963,1963,GasA,2,1,CarPort,0,0,5,WD,Normal
385000,54,50271,Pave,1987,1981,GasA,0,1,Attchd,0,0,11,WD,Normal
130000,55,7134,Pave,1955,1955,GasA,3,1,Detchd,0,0,2,WD,Normal
180500,56,10175,Pave,1964,1964,GasA,3,1,Attchd,0,0,7,WD,Normal
172500,57,2645,Pave,2000,1999,GasA,3,1,Attchd,0,0,8,WD,Abnorml
196500,58,11645,Pave,2004,2004,GasA,3,1,Attchd,0,0,8,WD,Normal
438780,59,13682,Pave,2006,2006,GasA,3,1,BuiltIn,0,0,10,New,Partial
124900,60,7200,Pave,1972,1972,GasA,2,1,Detchd,0,0,1,WD,Normal
158000,61,13072,Pave,2004,2004,GasA,3,1,Detchd,0,0,5,New,Partial
101000,62,7200,Pave,1996,1920,GasA,3,1,Detchd,0,0,3,WD,Normal
202500,63,6442,Pave,2006,2006,GasA,2,1,Attchd,0,0,10,WD,Normal
140000,64,10300,Pave,1950,1921,GasA,3,1,Detchd,0,0,4,WD,Normal
219500,65,9375,Pave,1998,1997,GasA,3,1,Attchd,0,0,2,WD,Normal
317000,66,9591,Pave,2005,2004,GasA,4,1,BuiltIn,0,0,10,WD,Normal
180000,67,19900,Pave,1989,1970,GasA,3,1,Attchd,0,0,7,WD,Normal
226000,68,10665,Pave,2003,2003,GasA,3,1,Attchd,0,0,6,WD,Normal
80000,69,4608,Pave,1950,1945,GasA,2,1,Attchd,0,0,6,WD,Normal
225000,70,15593,Pave,1953,1953,GasW,3,1,Attchd,0,0,7,WD,Normal
244000,71,13651,Pave,1973,1973,GasA,3,1,Attchd,0,0,2,WD,Normal
129500,72,7599,Pave,2006,1982,GasA,2,1,Detchd,0,0,6,WD,Normal
185000,73,10141,Pave,1998,1998,GasA,3,1,Attchd,291,0,12,WD,Normal
144900,74,10200,Pave,2003,1954,GasA,3,1,Attchd,0,0,5,WD,Normal
107400,75,5790,Pave,1950,1915,GasA,3,2,Detchd,0,0,5,WD,Normal
91000,76,1596,Pave,1973,1973,GasA,2,1,BuiltIn,0,0,11,WD,Normal
135750,77,8475,Pave,1956,1956,GasA,2,1,Detchd,0,0,4,WD,Normal
127000,78,8635,Pave,2001,1948,GasA,2,1,Detchd,0,0,1,WD,Normal
136500,79,10778,Pave,1968,1968,GasA,4,2,NA,0,0,4,WD,Normal
110000,80,10440,Pave,1981,1910,GasA,2,1,Detchd,0,0,5,WD,Normal
193500,81,13000,Pave,1968,1968,GasA,4,1,Attchd,252,0,6,WD,Normal
153500,82,4500,Pave,1998,1998,GasA,2,1,Attchd,0,0,3,WD,Normal
245000,83,10206,Pave,2007,2007,GasA,3,1,Attchd,0,0,10,WD,Normal
126500,84,8892,Pave,1960,1960,GasA,3,1,Detchd,0,0,7,COD,Normal
168500,85,8530,Pave,1996,1995,GasA,3,1,BuiltIn,0,0,5,WD,Normal
260000,86,16059,Pave,1992,1991,GasA,4,1,Attchd,0,0,4,WD,Normal
174000,87,11911,Pave,2005,2005,GasA,3,1,BuiltIn,0,0,3,WD,Normal
164500,88,3951,Pave,2009,2009,GasA,2,1,Detchd,0,0,6,New,Partial
85000,89,8470,Pave,1982,1915,GasA,2,1,NA,0,0,10,ConLD,Abnorml
123600,90,8070,Pave,1995,1994,GasA,3,1,NA,0,0,8,WD,Normal
109900,91,7200,Pave,1950,1950,GasA,2,1,Detchd,0,0,7,WD,Normal
98600,92,8500,Pave,1961,1961,GasA,2,1,Attchd,0,0,12,WD,Abnorml
163500,93,13360,Pave,2006,1921,GasA,2,1,Detchd,0,0,8,WD,Normal
133900,94,7200,Pave,1998,1910,GasW,4,2,Detchd,99,0,11,WD,Normal
204750,95,9337,Pave,1997,1997,GasA,3,1,Attchd,0,0,5,WD,Normal
185000,96,9765,Pave,1993,1993,GasA,3,1,BuiltIn,0,0,4,WD,Normal
214000,97,10264,Pave,1999,1999,GasA,3,1,Attchd,0,0,8,WD,Normal
94750,98,10921,Pave,1965,1965,GasA,3,1,Attchd,0,0,5,WD,Normal
83000,99,10625,Pave,1950,1920,GasA,2,1,Basment,0,0,5,COD,Abnorml
128950,100,9320,Pave,1959,1959,GasA,3,1,NA,0,0,1,WD,Normal
205000,101,10603,Pave,2001,1977,GasA,3,1,Attchd,0,0,2,WD,Normal
178000,102,9206,Pave,1985,1985,GasA,3,1,Attchd,0,0,6,WD,Normal
118964,103,7018,Pave,1979,1979,GasA,4,2,Attchd,0,0,6,WD,Alloca
198900,104,10402,Pave,2009,2009,GasA,3,1,Attchd,0,0,5,WD,Normal
169500,105,7758,Pave,1950,1931,GasA,4,1,Detchd,184,0,6,WD,Normal
250000,106,9375,Pave,2004,2003,GasA,3,1,Attchd,0,0,8,WD,Normal
100000,107,10800,Pave,1995,1885,GasA,2,1,Detchd,0,0,8,WD,Normal
115000,108,6000,Pave,1950,1948,GasA,2,1,Detchd,0,0,4,WD,Partial
115000,109,8500,Pave,2005,1919,GasW,3,1,NA,0,0,8,WD,Normal
190000,110,11751,Pave,1977,1977,GasA,3,1,Attchd,0,0,1,COD,Normal
136900,111,9525,Pave,1972,1954,GasA,4,1,Attchd,0,0,10,WD,Normal
180000,112,7750,Pave,2000,2000,GasA,3,1,BuiltIn,0,0,4,WD,Normal
383970,113,9965,Pave,2007,2007,GasA,4,1,BuiltIn,168,0,10,New,Partial
217000,114,21000,Pave,1953,1953,GasA,3,1,Basment,0,0,10,COD,Abnorml
259500,115,7259,Pave,2002,1945,GasA,3,1,Detchd,0,0,7,WD,Normal
176000,116,3230,Pave,1999,1999,GasA,2,1,Detchd,0,0,6,WD,Normal
139000,117,11616,Pave,1962,1962,GasA,3,1,Attchd,0,0,9,WD,Normal
155000,118,8536,Pave,2007,2006,GasA,2,1,Attchd,0,0,4,New,Partial
320000,119,12376,Pave,1990,1990,GasA,5,1,Attchd,0,0,5,WD,Normal
163990,120,8461,Pave,2006,2005,GasA,3,1,Attchd,0,0,7,New,Partial
180000,121,21453,Pave,1969,1969,GasA,1,1,Attchd,0,0,10,WD,Normal
100000,122,6060,Pave,1950,1939,GasA,3,1,Detchd,0,0,6,WD,Normal
136000,123,9464,Pave,1958,1958,GasA,3,1,Attchd,130,0,6,WD,Normal
153900,124,7892,Pave,1993,1993,GasA,2,1,Attchd,0,0,3,WD,Normal
181000,125,17043,Pave,1998,1979,GasA,3,1,Attchd,0,0,1,WD,Normal
84500,126,6780,Pave,1982,1935,GasA,2,1,NA,0,0,6,WD,Normal
128000,127,4928,Pave,1976,1976,GasA,2,1,Attchd,0,0,2,WD,Normal
87000,128,4388,Pave,1950,1930,GasA,3,1,NA,0,0,6,WD,Normal
155000,129,7590,Pave,1966,1966,GasA,3,1,Attchd,0,0,7,WD,Normal
150000,130,8973,Pave,1991,1958,GasA,3,1,2Types,0,0,7,WD,Abnorml
226000,131,14200,Pave,1966,1966,GasA,4,1,Attchd,0,0,5,WD,Normal
244000,132,12224,Pave,2000,2000,GasA,3,1,BuiltIn,0,0,7,WD,Normal
150750,133,7388,Pave,2002,1959,GasA,3,1,Detchd,0,0,7,WD,Normal
220000,134,6853,Pave,2002,2001,GasA,2,1,Attchd,0,0,6,WD,Normal
180000,135,10335,Pave,1993,1968,GasA,3,1,Attchd,0,0,7,WD,Normal
174000,136,10400,Pave,1970,1970,GasA,3,1,Attchd,0,0,5,WD,Normal
143000,137,10355,Pave,1967,1967,GasA,3,1,Attchd,0,0,7,WD,Normal
171000,138,11070,Pave,1989,1988,GasA,5,2,2Types,0,0,7,WD,Family
230000,139,9066,Pave,2000,1999,GasA,3,1,Attchd,0,0,12,WD,Normal
231500,140,15426,Pave,1997,1997,GasA,3,1,Attchd,0,0,8,WD,Normal
115000,141,10500,Pave,1971,1971,GasA,3,1,NA,0,0,4,ConLI,Normal
260000,142,11645,Pave,2005,2005,GasA,3,1,Attchd,0,0,1,WD,Normal
166000,143,8520,Pave,1952,1952,GasA,4,1,Detchd,0,0,6,WD,Normal
204000,144,10335,Pave,1999,1999,GasA,3,1,Attchd,0,0,6,WD,Normal
125000,145,9100,Pave,1963,1963,GasA,6,2,Detchd,0,0,11,ConLI,Abnorml
130000,146,2522,Pave,2006,2004,GasA,3,1,Detchd,0,0,4,WD,Normal
105000,147,6120,Pave,1993,1931,GasA,2,1,Detchd,0,0,11,WD,Normal
222500,148,9505,Pave,2001,2001,GasA,3,1,BuiltIn,0,0,5,WD,Normal
141000,149,7500,Pave,2005,2004,GasA,3,1,NA,0,0,4,WD,Normal
115000,150,6240,Pave,1950,1936,GasA,3,1,Detchd,0,0,4,WD,Normal
122000,151,10356,Pave,1975,1975,GasA,3,1,Attchd,0,0,1,WD,Normal
372402,152,13891,Pave,2008,2007,GasA,2,1,Attchd,0,0,1,New,Partial
190000,153,14803,Pave,1971,1971,GasA,4,1,Attchd,0,0,6,WD,Normal
235000,154,13500,Pave,1975,1960,GasA,1,1,Attchd,0,0,3,WD,Normal
125000,155,11340,Pave,1950,1923,GasA,4,1,Detchd,0,0,3,WD,Family
79000,156,9600,Pave,1950,1924,Grav,2,1,NA,0,0,4,WD,Normal
109500,157,7200,Pave,1950,1950,GasA,2,1,Detchd,0,0,6,WD,Normal
269500,158,12003,Pave,2010,2009,GasA,4,1,BuiltIn,0,0,5,New,Partial
254900,159,12552,Pave,2005,2004,GasA,3,1,Attchd,0,0,5,WD,Normal
320000,160,19378,Pave,2006,2005,GasA,4,1,Attchd,0,0,3,New,Partial
162500,161,11120,Pave,1984,1984,GasA,3,1,Attchd,0,0,6,WD,Normal
412500,162,13688,Pave,2004,2003,GasA,3,1,BuiltIn,0,0,3,WD,Normal
220000,163,12182,Pave,2005,2005,GasA,3,1,Attchd,0,0,5,New,Partial
103200,164,5500,Pave,1956,1956,GasA,1,1,NA,0,0,4,WD,Normal
152000,165,5400,Pave,2004,1926,GasA,3,1,Detchd,0,0,10,WD,Normal
127500,166,10106,Pave,1999,1940,GasA,4,2,NA,0,0,9,WD,Normal
190000,167,10708,Pave,1993,1955,GasA,2,1,Attchd,142,0,11,COD,Normal
325624,168,10562,Pave,2007,2007,GasA,3,1,Attchd,0,0,11,New,Partial
183500,169,8244,Pave,2004,2004,GasA,3,1,Attchd,0,0,5,WD,Normal
228000,170,16669,Pave,1981,1981,GasA,2,1,Attchd,0,0,1,WD,Normal
128500,171,12358,Pave,1950,1941,GasA,2,1,Detchd,0,0,5,WD,Normal
215000,172,31770,Pave,1960,1960,GasA,3,1,Attchd,0,0,5,WD,Normal
239000,173,5306,Pave,1987,1987,GasA,2,1,Attchd,0,0,6,WD,Normal
163000,174,10197,Pave,1961,1961,GasA,3,1,Attchd,0,0,6,COD,Normal
184000,175,12416,Pave,1986,1986,GasA,3,1,Attchd,0,0,11,WD,Normal
243000,176,12615,Pave,2001,1950,GasA,4,1,Attchd,0,0,6,WD,Normal
211000,177,10029,Pave,1989,1988,GasA,4,1,Attchd,192,0,9,WD,Normal
172500,178,13650,Pave,1958,1958,GasA,4,1,Attchd,0,0,7,WD,Normal
501837,179,17423,Pave,2009,2008,GasA,1,1,Attchd,0,0,7,New,Partial
100000,180,8520,Pave,2006,1923,GasA,2,1,Detchd,0,0,7,WD,Normal
177000,181,2117,Pave,2000,2000,GasA,3,1,Detchd,0,0,6,WD,Normal
200100,182,7588,Pave,1950,1920,GasA,4,1,Detchd,0,0,7,WD,Normal
120000,183,9060,Pave,2006,1957,GasA,3,1,Attchd,0,0,6,WD,Normal
200000,184,11426,Pave,2003,2003,GasA,3,1,Detchd,0,0,6,WD,Normal
127000,185,7438,Pave,1991,1908,GasA,3,1,Attchd,0,0,6,WD,Normal
475000,186,22950,Pave,1993,1892,GasA,4,1,Detchd,410,0,6,WD,Normal
173000,187,9947,Pave,1991,1990,GasA,3,1,Attchd,0,0,6,WD,Normal
135000,188,10410,Pave,1987,1916,GasA,3,1,Detchd,0,0,8,WD,Normal
153337,189,7018,Pave,1979,1979,GasA,2,2,Detchd,0,0,6,WD,Alloca
286000,190,4923,Pave,2002,2001,GasA,0,1,Attchd,224,0,8,WD,Normal
315000,191,10570,Pave,1994,1932,GasA,3,1,Detchd,0,0,12,WD,Normal
184000,192,7472,Pave,2004,1972,GasA,4,1,Attchd,0,0,6,WD,Normal
192000,193,9017,Pave,1999,1999,GasA,3,1,Attchd,0,0,9,WD,Normal
130000,194,2522,Pave,2004,2004,GasA,3,1,Detchd,0,0,5,WD,Normal
127000,195,7180,Pave,1972,1972,GasA,3,1,Detchd,0,0,5,WD,Normal
148500,196,2280,Pave,1976,1976,GasA,3,1,Attchd,0,0,7,WD,Normal
311872,197,9416,Pave,2007,2007,GasA,3,1,Attchd,266,0,9,New,Partial
235000,198,25419,Pave,1990,1918,GasA,4,1,Detchd,0,512,3,WD,Abnorml
104000,199,5520,Pave,1950,1912,GasA,5,1,NA,0,0,7,WD,Abnorml
274900,200,9591,Pave,2005,2004,GasA,3,1,Attchd,170,0,1,WD,Normal
140000,201,8546,Pave,2004,2003,GasA,2,1,Attchd,0,0,3,WD,Normal
171500,202,10125,Pave,1977,1977,GasA,3,1,Detchd,0,0,2,WD,Normal
112000,203,7000,Pave,1950,1924,GasA,2,1,Attchd,0,0,5,COD,Normal
149000,204,4438,Pave,2004,2004,GasA,1,1,Attchd,0,0,1,WD,Normal
110000,205,3500,Pave,1950,1947,GasA,2,1,Detchd,0,0,4,WD,Normal
180500,206,11851,Pave,1990,1990,GasA,3,1,Attchd,0,0,5,WD,Normal
143900,207,13673,Pave,1962,1962,GasA,3,1,Attchd,0,0,3,WD,Normal
141000,208,12493,Pave,1960,1960,GasA,3,1,Attchd,0,0,4,WD,Normal
277000,209,14364,Pave,1989,1988,GasA,3,1,Attchd,154,0,4,WD,Normal
145000,210,8250,Pave,1964,1964,GasA,3,1,Attchd,0,0,7,WD,Normal
98000,211,5604,Pave,1950,1925,GasA,2,1,NA,0,0,4,WD,Normal
186000,212,10420,Pave,2009,2009,GasA,3,1,Attchd,0,0,3,WD,Normal
252678,213,8640,Pave,2009,2009,GasA,3,1,Attchd,0,0,7,New,Partial
156000,214,13568,Pave,1995,1995,GasA,3,1,Attchd,0,0,7,WD,Normal
161750,215,10900,Pave,1977,1977,GasA,3,1,Attchd,0,0,3,WD,Normal
134450,216,10011,Pave,1996,1957,GasA,2,1,Attchd,0,0,5,WD,Normal
210000,217,8450,Pave,2004,2004,GasA,3,1,Attchd,0,0,4,WD,Normal
107000,218,9906,Pave,1950,1925,GasA,3,1,Detchd,0,0,9,WD,Family
311500,219,15660,Pave,2006,1939,GasA,3,1,Attchd,0,0,5,WD,Normal
167240,220,3010,Pave,2006,2005,GasA,2,1,Attchd,0,0,3,New,Partial
204900,221,8990,Pave,2006,2006,GasA,2,1,Attchd,0,0,4,New,Partial
200000,222,8068,Pave,2002,2002,GasA,4,1,BuiltIn,0,0,12,ConLI,Normal
179900,223,11475,Pave,1975,1975,GasA,3,1,Attchd,0,0,2,WD,Normal
97000,224,10500,Pave,1971,1971,GasA,2,1,Detchd,0,0,3,WD,Abnorml
386250,225,13472,Pave,2003,2003,GasA,3,1,Attchd,0,0,6,WD,Normal
112000,226,1680,Pave,1971,1971,GasA,3,1,Detchd,0,0,5,COD,Abnorml
290000,227,9950,Pave,1995,1995,GasA,4,1,Attchd,0,0,6,WD,Abnorml
106000,228,1869,Pave,1970,1970,GasA,2,1,Detchd,0,0,9,WD,Normal
125000,229,8521,Pave,1967,1967,GasA,3,1,Detchd,0,0,5,WD,Normal
192500,230,3182,Pave,2006,2005,GasA,2,1,Attchd,0,0,5,WD,Normal
148000,231,8760,Pave,1959,1959,GasA,3,1,Attchd,0,0,4,WD,Normal
403000,232,15138,Pave,1996,1995,GasA,4,1,Attchd,0,0,7,WD,Normal
94500,233,1680,Pave,1972,1972,GasA,2,1,Attchd,0,0,6,WD,Normal
128200,234,10650,Pave,1976,1976,GasA,3,1,Attchd,0,0,2,WD,Normal
216500,235,7851,Pave,2002,2002,GasA,4,1,BuiltIn,0,0,5,WD,Normal
89500,236,1680,Pave,1971,1971,GasA,2,1,Detchd,0,0,8,WD,Normal
185500,237,8773,Pave,2004,2004,GasA,3,1,Attchd,0,0,5,WD,Normal
194500,238,9453,Pave,2003,1993,GasA,3,1,Attchd,0,0,2,WD,Normal
318000,239,12030,Pave,2007,2007,GasA,3,1,Attchd,0,0,12,New,Partial
113000,240,8741,Pave,1950,1945,GasA,3,1,Detchd,0,0,4,WD,Normal
262500,241,9000,Pave,2008,2008,GasA,3,1,Attchd,0,0,4,WD,Normal
110500,242,3880,Pave,1997,1945,GasA,2,1,NA,0,0,8,WD,Normal
79000,243,5000,Pave,1950,1900,GasA,3,1,Attchd,0,0,4,WD,Normal
120000,244,10762,Pave,1980,1980,GasA,3,1,Attchd,0,0,4,WD,Normal
205000,245,8880,Pave,2002,1994,GasA,3,1,Attchd,0,0,5,WD,Normal
241500,246,10400,Pave,1988,1988,GasA,3,1,Attchd,0,0,6,WD,Normal
137000,247,9142,Pave,1950,1910,GasA,4,2,Detchd,0,0,4,WD,Normal
140000,248,11310,Pave,1954,1954,GasA,2,1,Attchd,0,0,6,WD,Normal
180000,249,11317,Pave,2003,2003,GasA,3,1,Attchd,0,0,9,WD,Normal
277000,250,159000,Pave,2006,1958,GasA,4,1,Attchd,0,0,6,WD,Normal
76500,251,5350,Pave,1966,1940,GasA,3,1,NA,0,0,5,WD,Normal
235000,252,4750,Pave,2007,2006,GasA,2,1,Attchd,153,0,12,WD,Family
173000,253,8366,Pave,2004,2004,GasA,3,1,Attchd,0,0,12,WD,Normal
158000,254,9350,Pave,1991,1964,GasA,3,1,Attchd,0,0,10,CWD,Normal
145000,255,8400,Pave,1957,1957,GasA,3,1,Attchd,0,0,6,WD,Normal
230000,256,8738,Pave,1999,1999,GasA,4,1,BuiltIn,0,0,2,WD,Normal
207500,257,8791,Pave,2003,2003,GasA,3,1,Attchd,0,0,5,WD,Normal
220000,258,8814,Pave,2006,2006,GasA,3,1,Attchd,0,0,3,WD,Abnorml
231500,259,12435,Pave,2001,2001,GasA,3,1,Attchd,0,0,5,WD,Normal
97000,260,12702,Pave,1956,1956,GasA,2,1,Detchd,0,0,12,WD,Normal
176000,261,19296,Pave,1962,1962,GasA,3,1,Attchd,0,0,5,WD,Normal
276000,262,9588,Pave,2007,2007,GasA,3,1,BuiltIn,0,0,11,New,Partial
151000,263,8471,Pave,1995,1977,GasA,3,1,Attchd,0,0,7,WD,Normal
130000,264,5500,Pave,2001,1929,GasA,3,1,Detchd,0,0,4,WD,Normal
73000,265,5232,Pave,2004,1925,GasA,2,1,Detchd,0,0,6,WD,Normal
175500,266,12090,Pave,1981,1981,GasA,3,1,Attchd,0,0,6,WD,Normal
185000,267,11207,Pave,1997,1997,GasA,3,1,Attchd,0,0,6,WD,Normal
179500,268,8400,Pave,1997,1939,GasA,4,1,Detchd,0,0,7,WD,Normal
120500,269,6900,Pave,1955,1940,GasA,2,1,Detchd,0,0,2,WD,Normal
148000,270,7917,Pave,1976,1976,GasA,3,1,Attchd,0,0,5,WD,Normal
266000,271,10728,Pave,2006,2006,GasA,3,1,Attchd,0,0,8,New,Partial
241500,272,39104,Pave,2005,1954,GasA,2,1,Attchd,0,0,4,WD,Normal
290000,273,11764,Pave,2007,1999,GasA,4,1,Attchd,0,0,4,WD,Normal
139000,274,9600,Pave,1988,1958,GasA,3,1,Attchd,0,0,4,WD,Normal
124500,275,8314,Pave,1982,1982,GasA,2,1,Attchd,0,0,6,WD,Normal
205000,276,7264,Pave,2007,1925,GasW,3,1,Detchd,144,0,10,WD,Normal
201000,277,9196,Pave,2003,2003,GasA,3,1,Attchd,0,0,4,WD,Normal
141000,278,19138,Pave,1951,1951,GasA,2,1,Detchd,0,0,6,WD,Normal
415298,279,14450,Pave,2007,2006,GasA,3,1,Attchd,142,0,5,New,Partial
192000,280,10005,Pave,1977,1977,GasA,4,1,Attchd,0,0,3,WD,Normal
228500,281,11287,Pave,1989,1989,GasA,3,1,Attchd,0,0,1,WD,Normal
185000,282,7200,Pave,2006,2006,GasA,2,1,Attchd,0,0,5,New,Partial
207500,283,5063,Pave,2008,2007,GasA,2,1,Attchd,0,0,4,ConLw,Normal
244600,284,9612,Pave,2009,2008,GasA,3,1,Attchd,0,0,12,New,Partial
179200,285,8012,Pave,1992,1992,GasA,2,1,Attchd,0,0,7,WD,Normal
164700,286,4251,Pave,2007,2006,GasA,2,1,Detchd,0,0,6,New,Partial
159000,287,9786,Pave,1981,1962,GasA,3,1,Attchd,128,0,6,WD,Normal
88000,288,8125,Pave,1971,1971,GasA,3,1,NA,0,0,6,WD,Normal
122000,289,9819,Pave,1967,1967,GasA,3,1,Detchd,0,0,2,WD,Normal
153575,290,8730,Pave,2003,1915,GasA,3,1,Detchd,259,0,7,WD,Normal
233230,291,15611,Pave,2006,2006,GasA,3,1,Attchd,0,0,7,New,Partial
135900,292,5687,Pave,2000,1912,GasA,6,1,NA,0,0,3,WD,Normal
131000,293,11409,Pave,2008,1949,GasA,3,1,Attchd,160,0,1,WD,Normal
235000,294,16659,Pave,1994,1977,GasA,3,1,Attchd,0,0,3,WD,Normal
167000,295,9600,Pave,1953,1953,GasA,3,1,Attchd,0,0,10,WD,Normal
142500,296,7937,Pave,1984,1984,GasA,3,1,Detchd,0,0,3,WD,Normal
152000,297,13710,Pave,1950,1950,GasA,4,1,Attchd,0,0,6,WD,Normal
239000,298,7399,Pave,1998,1997,GasA,3,1,Detchd,198,0,6,WD,Normal
175000,299,11700,Pave,1968,1968,GasA,3,1,Attchd,0,0,6,WD,Normal
158500,300,14000,Pave,2004,1950,GasA,3,1,Attchd,0,0,8,WD,Family
157000,301,15750,Pave,1953,1953,GasA,2,1,Attchd,0,0,6,WD,Normal
267000,302,16226,Pave,1999,1998,GasA,4,1,BuiltIn,0,0,5,WD,Normal
205000,303,13704,Pave,2002,2001,GasA,3,1,Attchd,0,0,1,WD,Normal
149900,304,9800,Pave,1972,1972,GasA,3,1,Attchd,0,0,7,WD,Abnorml
295000,305,18386,Pave,2002,1880,GasA,3,1,Attchd,0,0,5,WD,Normal
305900,306,10386,Pave,2005,2004,GasA,3,1,Attchd,0,0,7,WD,Normal
225000,307,13474,Pave,1991,1990,GasA,4,1,Attchd,0,0,6,WD,Normal
89500,308,7920,Pave,1950,1920,GasA,3,1,NA,0,0,3,WD,Normal
82500,309,12342,Pave,1950,1940,GasA,1,1,Detchd,0,0,3,WD,Normal
360000,310,12378,Pave,2004,2003,GasA,3,1,Attchd,0,0,11,WD,Normal
165600,311,7685,Pave,1994,1993,GasA,3,1,Attchd,0,0,5,WD,Normal
132000,312,8000,Pave,2002,1948,GasA,2,1,Detchd,0,0,5,WD,Normal
119900,313,7800,Pave,1950,1939,GasA,3,1,Detchd,271,0,5,WD,Normal
